TIME ms, IN2,no_offset
0.879,0.550725,0.582277108
0.874,0.871636,0.903188108
0.869,0.679089,0.710641108
0.864,-0.861282,-0.829729892
0.859,-0.604553,-0.573000892
0.854,-0.797099,-0.765546892
0.85,0.10145,0.133002108
0.845,-0.155278,-0.123725892
0.84,0.358179,0.389731108
0.835,-0.091096,-0.059543892
0.83,0.679089,0.710641108
0.825,0.037268,0.068820108
0.82,0.679089,0.710641108
0.815,0.358179,0.389731108
0.811,0.037268,0.068820108
0.806,-0.283642,-0.252089892
0.801,-0.091096,-0.059543892
0.796,0.165632,0.197184108
0.791,0.422361,0.453913108
0.786,0.679089,0.710641108
0.781,0.165632,0.197184108
0.776,0.293997,0.325549108
0.771,0.229815,0.261367108
0.767,0.422361,0.453913108
0.762,-0.026914,0.004638108
0.757,0.486543,0.518095108
0.752,-0.026914,0.004638108
0.747,-0.091096,-0.059543892
0.742,0.10145,0.133002108
0.737,0.165632,0.197184108
0.732,-0.026914,0.004638108
0.728,-0.476189,-0.444636892
0.723,-1.310556,-1.279003892
0.718,-0.732917,-0.701364892
0.713,-0.861282,-0.829729892
0.708,-0.283642,-0.252089892
0.703,-0.347825,-0.316272892
0.698,-0.347825,-0.316272892
0.693,-0.604553,-0.573000892
0.688,-0.155278,-0.123725892
0.684,-0.21946,-0.187907892
0.679,-0.026914,0.004638108
0.674,-0.026914,0.004638108
0.669,-0.732917,-0.701364892
0.664,0.10145,0.133002108
0.659,-0.091096,-0.059543892
0.654,-0.21946,-0.187907892
0.649,0.165632,0.197184108
0.645,-0.540371,-0.508818892
0.64,-0.283642,-0.252089892
0.635,-0.540371,-0.508818892
0.63,0.10145,0.133002108
0.625,0.358179,0.389731108
0.62,0.422361,0.453913108
0.615,-0.347825,-0.316272892
0.61,-0.026914,0.004638108
0.605,-0.155278,-0.123725892
0.601,-0.026914,0.004638108
0.596,-0.21946,-0.187907892
0.591,-0.283642,-0.252089892
0.586,-0.347825,-0.316272892
0.581,0.10145,0.133002108
0.576,-0.21946,-0.187907892
0.571,-0.283642,-0.252089892
0.566,0.358179,0.389731108
0.562,-0.155278,-0.123725892
0.557,-0.155278,-0.123725892
0.552,0.293997,0.325549108
0.547,0.293997,0.325549108
0.542,0.037268,0.068820108
0.537,0.422361,0.453913108
0.532,-0.283642,-0.252089892
0.527,-1.053828,-1.022275892
0.522,-1.11801,-1.086457892
0.518,-0.668735,-0.637182892
0.513,-0.476189,-0.444636892
0.508,-0.412007,-0.380454892
0.503,-0.155278,-0.123725892
0.498,-0.412007,-0.380454892
0.493,-0.026914,0.004638108
0.488,0.679089,0.710641108
0.483,0.358179,0.389731108
0.479,0.550725,0.582277108
0.474,0.550725,0.582277108
0.469,0.037268,0.068820108
0.464,0.422361,0.453913108
0.459,-0.026914,0.004638108
0.454,0.10145,0.133002108
0.449,0.165632,0.197184108
0.444,0.10145,0.133002108
0.439,0.486543,0.518095108
0.435,0.037268,0.068820108
0.43,0.229815,0.261367108
0.425,0.229815,0.261367108
0.42,-0.026914,0.004638108
0.415,0.358179,0.389731108
0.41,0.165632,0.197184108
0.405,0.807454,0.839006108
0.4,0.165632,0.197184108
0.396,-0.026914,0.004638108
0.391,0.037268,0.068820108
0.386,-0.732917,-0.701364892
0.381,-0.668735,-0.637182892
0.376,-0.091096,-0.059543892
0.371,0.486543,0.518095108
0.366,0.293997,0.325549108
0.361,0.422361,0.453913108
0.356,0.422361,0.453913108
0.352,0.165632,0.197184108
0.347,0.293997,0.325549108
0.342,0.679089,0.710641108
0.337,0.358179,0.389731108
0.332,0.293997,0.325549108
0.327,-0.732917,-0.701364892
0.322,-0.347825,-0.316272892
0.317,-0.155278,-0.123725892
0.313,-0.21946,-0.187907892
0.308,0.165632,0.197184108
0.303,0.165632,0.197184108
0.298,0.486543,0.518095108
0.293,0.358179,0.389731108
0.288,0.486543,0.518095108
0.283,0.165632,0.197184108
0.278,0.10145,0.133002108
0.273,0.871636,0.903188108
0.269,0.165632,0.197184108
0.264,0.743272,0.774824108
0.259,0.293997,0.325549108
0.254,-0.091096,-0.059543892
0.249,0.165632,0.197184108
0.244,-0.668735,-0.637182892
0.239,-0.026914,0.004638108
0.234,-0.412007,-0.380454892
0.229,0.358179,0.389731108
0.225,0.165632,0.197184108
0.22,-0.155278,-0.123725892
0.215,-0.347825,-0.316272892
0.21,-0.412007,-0.380454892
0.205,0.037268,0.068820108
0.2,0.229815,0.261367108
0.195,-0.668735,-0.637182892
0.19,-0.347825,-0.316272892
0.186,-0.797099,-0.765546892
0.181,-0.540371,-0.508818892
0.176,-0.540371,-0.508818892
0.171,-0.347825,-0.316272892
0.166,-0.347825,-0.316272892
0.161,-0.155278,-0.123725892
0.156,0.293997,0.325549108
0.151,-0.540371,-0.508818892
0.146,0.422361,0.453913108
0.142,-0.21946,-0.187907892
0.137,-0.347825,-0.316272892
0.132,-0.091096,-0.059543892
0.127,-0.026914,0.004638108
0.122,0.10145,0.133002108
0.117,-0.797099,-0.765546892
0.112,-0.091096,-0.059543892
0.107,0.165632,0.197184108
0.103,-0.091096,-0.059543892
0.098,-0.155278,-0.123725892
0.093,0.422361,0.453913108
0.088,-0.091096,-0.059543892
0.083,-0.283642,-0.252089892
0.078,-0.412007,-0.380454892
0.073,-0.026914,0.004638108
0.068,-0.476189,-0.444636892
0.063,-0.476189,-0.444636892
0.059,-0.412007,-0.380454892
0.054,-0.861282,-0.829729892
0.049,-0.797099,-0.765546892
0.044,-0.540371,-0.508818892
0.039,0.165632,0.197184108
0.034,0.293997,0.325549108
0.029,0.550725,0.582277108
0.024,0.10145,0.133002108
